id,code,tsr_group_code,name
"370","1992","199","医療・衛生用ゴム製品製造業"
"371","1993","199","ゴム練生地製造業"
"372","1994","199","更生タイヤ製造業"
"373","1995","199","再生ゴム製造業"
"374","1999","199","他に分類されないゴム製品製造業"
"375","2011","201","なめし革製造業"
"376","2021","202","工業用革製品製造業（手袋を除く）"
"377","2031","203","革製履物用材料・同附属品製造業"
"378","2041","204","革製履物製造業"
"379","2051","205","革製手袋製造業"
"380","2061","206","かばん製造業"
"381","2071","207","袋物製造業（ハンドバッグを除く）"
"382","2072","207","ハンドバッグ製造業"
"383","2081","208","毛皮製造業"
"384","2099","209","その他のなめし革製品製造業"
"385","2111","211","板ガラス製造業"
"386","2112","211","板ガラス加工業"
"387","2113","211","ガラス製加工素材製造業"
"388","2114","211","ガラス容器製造業"
"389","2115","211","理化学用・医療用ガラス器具製造業"
"390","2116","211","卓上用・ちゅう房用ガラス器具製造業"
"391","2117","211","ガラス繊維・同製品製造業"
"392","2119","211","その他のガラス・同製品製造業"
"393","2121","212","セメント製造業"
"394","2122","212","生コンクリート製造業"
"395","2123","212","コンクリート製品製造業"
"396","2129","212","その他のセメント製品製造業"
"397","2131","213","粘土かわら製造業"
"398","2132","213","普通れんが製造業"
"399","2139","213","その他の建設用粘土製品製造業"
"400","2141","214","衛生陶器製造業"
"401","2142","214","食卓用・ちゅう房用陶磁器製造業"
"402","2143","214","陶磁器製置物製造業"
"403","2144","214","電気用陶磁器製造業"
"404","2145","214","理化学用・工業用陶磁器製造業"
"405","2146","214","陶磁器製タイル製造業"
"406","2147","214","陶磁器絵付業"
"407","2148","214","陶磁器用はい（坏）土製造業"
"408","2149","214","その他の陶磁器・同関連製品製造業"
"409","2151","215","耐火れんが製造業"
"410","2152","215","不定形耐火物製造業"
"411","2159","215","その他の耐火物製造業"
"412","2161","216","炭素質電極製造業"
"413","2169","216","その他の炭素・黒鉛製品製造業"
"414","2171","217","研磨材製造業"
"415","2172","217","研削と石製造業"
"416","2173","217","研磨布紙製造業"
"417","2179","217","その他の研磨材・同製品製造業"
"418","2181","218","砕石製造業"
"419","2182","218","再生骨材製造業"
"420","2183","218","人工骨材製造業"
"421","2184","218","石工品製造業"
"422","2185","218","けいそう土・同製品製造業"
"423","2186","218","鉱物・土石粉砕等処理業"
"424","2191","219","ロックウール・同製品製造業"
"425","2192","219","石こう（膏）製品製造業"
"426","2193","219","石灰製造業"
"427","2194","219","鋳型製造業（中子を含む）"
"428","2199","219","他に分類されない窯業・土石製品製造業"
"429","2211","221","高炉による製鉄業"
"430","2212","221","高炉によらない製鉄業"
"431","2213","221","フェロアロイ製造業"
"432","2221","222","製鋼・製鋼圧延業"
"433","2231","223","熱間圧延業（鋼管，伸鉄を除く）"
"434","2232","223","冷間圧延業（鋼管，伸鉄を除く）"
"435","2233","223","冷間ロール成型形鋼製造業"
"436","2234","223","鋼管製造業"
"437","2235","223","伸鉄業"
"438","2236","223","磨棒鋼製造業"
"439","2237","223","引抜鋼管製造業"
"440","2238","223","伸線業"
"441","2239","223","その他の製鋼を行わない鋼材製造業（表面処理鋼材を除く)"
"442","2241","224","亜鉛鉄板製造業"
"443","2249","224","その他の表面処理鋼材製造業"
"444","2251","225","銑鉄鋳物製造業（鋳鉄管，可鍛鋳鉄を除く）"
"445","2252","225","可鍛鋳鉄製造業"
"446","2253","225","鋳鋼製造業"
"447","2254","225","鍛工品製造業"
"448","2255","225","鍛鋼製造業"
"449","2291","229","鉄鋼シャースリット業"
"450","2292","229","鉄スクラップ加工処理業"
"451","2293","229","鋳鉄管製造業"
"452","2299","229","他に分類されない鉄鋼業"
"453","2311","231","銅第１次製錬・精製業"
"454","2312","231","亜鉛第１次製錬・精製業"
"455","2319","231","その他の非鉄金属第１次製錬・精製業"
"456","2321","232","鉛第２次製錬・精製業（鉛合金製造業を含む)"
"457","2322","232","アルミニウム第２次製錬・精製業（アルミニウム合金製造業を含む）"
"458","2329","232","その他の非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）"
