id,code,tsr_division_code,name
"418","932","93","労働団体"
"419","933","93","学術・文化団体"
"420","934","93","政治団体"
"421","939","93","他に分類されない非営利的団体"
"422","941","94","神道系宗教"
"423","942","94","仏教系宗教"
"424","943","94","キリスト教系宗教"
"425","949","94","その他の宗教"
"426","951","95","集会場"
"427","952","95","と畜場"
"428","959","95","他に分類されないサービス業"
"429","961","96","外国公館"
"430","969","96","その他の外国公務"
"431","971","97","立法機関"
"432","972","97","司法機関"
"433","973","97","行政機関"
"434","981","98","都道府県機関"
"435","982","98","市町村機関"
"436","999","99","分類不能の産業"
