大分類コード,中分類コード,小分類コード,細分類コード,項目名
E,13,132,0000,宗教用具製造業
E,13,132,1321,宗教用具製造業
E,13,133,0000,建具製造業
E,13,133,1331,建具製造業
E,13,139,0000,その他の家具・装備品製造業
E,13,139,1391,事務所用・店舗用装備品製造業
E,13,139,1392,窓用・扉用日よけ，日本びょうぶ等製造業
E,13,139,1393,鏡縁・額縁製造業
E,13,139,1399,他に分類されない家具・装備品製造業
E,14,000,0000,パルプ・紙・紙加工品製造業
E,14,140,0000,管理，補助的経済活動を行う事業所（14パルプ・紙・紙加工品製造業）
E,14,140,1400,主として管理事務を行う本社等
E,14,140,1409,その他の管理，補助的経済活動を行う事業所
E,14,141,0000,パルプ製造業
E,14,141,1411,パルプ製造業
E,14,142,0000,紙製造業
E,14,142,1421,洋紙製造業
E,14,142,1422,板紙製造業
E,14,142,1423,機械すき和紙製造業
E,14,142,1424,手すき和紙製造業
E,14,143,0000,加工紙製造業
E,14,143,1431,塗工紙製造業（印刷用紙を除く）
E,14,143,1432,段ボール製造業
E,14,143,1433,壁紙・ふすま紙製造業
E,14,144,0000,紙製品製造業
E,14,144,1441,事務用・学用紙製品製造業
E,14,144,1442,日用紙製品製造業
E,14,144,1449,その他の紙製品製造業
E,14,145,0000,紙製容器製造業
E,14,145,1451,重包装紙袋製造業
E,14,145,1452,角底紙袋製造業
E,14,145,1453,段ボール箱製造業
E,14,145,1454,紙器製造業
E,14,149,0000,その他のパルプ・紙・紙加工品製造業
E,14,149,1499,その他のパルプ・紙・紙加工品製造業
E,15,000,0000,印刷・同関連業
E,15,150,0000,管理，補助的経済活動を行う事業所（15印刷・同関連業）
E,15,150,1500,主として管理事務を行う本社等
E,15,150,1509,その他の管理，補助的経済活動を行う事業所
E,15,151,0000,印刷業
E,15,151,1511,オフセット印刷業（紙に対するもの）
E,15,151,1512,オフセット印刷以外の印刷業（紙に対するもの）
E,15,151,1513,紙以外の印刷業
E,15,152,0000,製版業
E,15,152,1521,製版業
E,15,153,0000,製本業，印刷物加工業
E,15,153,1531,製本業
E,15,153,1532,印刷物加工業
E,15,159,0000,印刷関連サービス業
E,15,159,1591,印刷関連サービス業
E,16,000,0000,化学工業
E,16,160,0000,管理，補助的経済活動を行う事業所（16化学工業）
E,16,160,1600,主として管理事務を行う本社等
E,16,160,1609,その他の管理，補助的経済活動を行う事業所
E,16,161,0000,化学肥料製造業
E,16,161,1611,窒素質・りん酸質肥料製造業
E,16,161,1612,複合肥料製造業
E,16,161,1619,その他の化学肥料製造業
E,16,162,0000,無機化学工業製品製造業
E,16,162,1621,ソーダ工業
E,16,162,1622,無機顔料製造業
E,16,162,1623,圧縮ガス・液化ガス製造業
E,16,162,1624,塩製造業
E,16,162,1629,その他の無機化学工業製品製造業
E,16,163,0000,有機化学工業製品製造業
E,16,163,1631,石油化学系基礎製品製造業（一貫して生産される誘導品を含む）
E,16,163,1632,脂肪族系中間物製造業（脂肪族系溶剤を含む）
E,16,163,1633,発酵工業
E,16,163,1634,環式中間物・合成染料・有機顔料製造業
E,16,163,1635,プラスチック製造業
E,16,163,1636,合成ゴム製造業
E,16,163,1639,その他の有機化学工業製品製造業
E,16,164,0000,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業
E,16,164,1641,脂肪酸・硬化油・グリセリン製造業
E,16,164,1642,石けん・合成洗剤製造業
E,16,164,1643,界面活性剤製造業（石けん，合成洗剤を除く）
E,16,164,1644,塗料製造業
E,16,164,1645,印刷インキ製造業
E,16,164,1646,洗浄剤・磨用剤製造業
E,16,164,1647,ろうそく製造業
E,16,165,0000,医薬品製造業
E,16,165,1651,医薬品原薬製造業
E,16,165,1652,医薬品製剤製造業
E,16,165,1653,生物学的製剤製造業
E,16,165,1654,生薬・漢方製剤製造業
E,16,165,1655,動物用医薬品製造業
E,16,166,0000,化粧品・歯磨・その他の化粧用調整品製造業
E,16,166,1661,仕上用・皮膚用化粧品製造業（香水，オーデコロンを含む）
E,16,166,1662,頭髪用化粧品製造業
E,16,166,1669,その他の化粧品・歯磨・化粧用調整品製造業
E,16,169,0000,その他の化学工業
E,16,169,1691,火薬類製造業
E,16,169,1692,農薬製造業
E,16,169,1693,香料製造業
E,16,169,1694,ゼラチン・接着剤製造業
E,16,169,1695,写真感光材料製造業
E,16,169,1696,天然樹脂製品・木材化学製品製造業
E,16,169,1697,試薬製造業
E,16,169,1699,他に分類されない化学工業製品製造業
E,17,000,0000,石油製品・石炭製品製造業
E,17,170,0000,管理，補助的経済活動を行う事業所（17石油製品・石炭製品製造業）
E,17,170,1700,主として管理事務を行う本社等
E,17,170,1709,その他の管理，補助的経済活動を行う事業所
E,17,171,0000,石油精製業
E,17,171,1711,石油精製業
E,17,172,0000,潤滑油・グリース製造業（石油精製業によらないもの）
E,17,172,1721,潤滑油・グリース製造業（石油精製業によらないもの）
E,17,173,0000,コークス製造業
E,17,173,1731,コークス製造業
E,17,174,0000,舗装材料製造業
E,17,174,1741,舗装材料製造業
E,17,179,0000,その他の石油製品・石炭製品製造業
E,17,179,1799,その他の石油製品・石炭製品製造業
E,18,000,0000,プラスチック製品製造業（別掲を除く）
E,18,180,0000,管理，補助的経済活動を行う事業所（18プラスチック製品製造業）
E,18,180,1800,主として管理事務を行う本社等
E,18,180,1809,その他の管理，補助的経済活動を行う事業所
E,18,181,0000,プラスチック板・棒・管・継手・異形押出製品製造業
E,18,181,1811,プラスチック板・棒製造業
E,18,181,1812,プラスチック管製造業
E,18,181,1813,プラスチック継手製造業
E,18,181,1814,プラスチック異形押出製品製造業
E,18,181,1815,プラスチック板・棒・管・継手・異形押出製品加工業
E,18,182,0000,プラスチックフィルム・シート・床材・合成皮革製造業
E,18,182,1821,プラスチックフィルム製造業
E,18,182,1822,プラスチックシート製造業
E,18,182,1823,プラスチック床材製造業
E,18,182,1824,合成皮革製造業
E,18,182,1825,プラスチックフィルム・シート・床材・合成皮革加工業
E,18,183,0000,工業用プラスチック製品製造業
