code,jsic_group_code,name
"2123","212","コンクリート製品製造業"
"2129","212","その他のセメント製品製造業"
"2131","213","粘土かわら製造業"
"2132","213","普通れんが製造業"
"2139","213","その他の建設用粘土製品製造業"
"2141","214","衛生陶器製造業"
"2142","214","食卓用・ちゅう房用陶磁器製造業"
"2143","214","陶磁器製置物製造業"
"2144","214","電気用陶磁器製造業"
"2145","214","理化学用・工業用陶磁器製造業"
"2146","214","陶磁器製タイル製造業"
"2147","214","陶磁器絵付業"
"2148","214","陶磁器用はい（坏）土製造業"
"2149","214","その他の陶磁器・同関連製品製造業"
"2151","215","耐火れんが製造業"
"2152","215","不定形耐火物製造業"
"2159","215","その他の耐火物製造業"
"2161","216","炭素質電極製造業"
"2169","216","その他の炭素・黒鉛製品製造業"
"2171","217","研磨材製造業"
"2172","217","研削と石製造業"
"2173","217","研磨布紙製造業"
"2179","217","その他の研磨材・同製品製造業"
"2181","218","砕石製造業"
"2182","218","再生骨材製造業"
"2183","218","人工骨材製造業"
"2184","218","石工品製造業"
"2185","218","けいそう土・同製品製造業"
"2186","218","鉱物・土石粉砕等処理業"
"2191","219","ロックウール・同製品製造業"
"2192","219","石こう（膏）製品製造業"
"2193","219","石灰製造業"
"2194","219","鋳型製造業（中子を含む）"
"2199","219","他に分類されない窯業・土石製品製造業"
"2200","220","主として管理事務を行う本社等"
"2209","220","その他の管理，補助的経済活動を行う事業所"
"2211","221","高炉による製鉄業"
"2212","221","高炉によらない製鉄業"
"2213","221","フェロアロイ製造業"
"2221","222","製鋼・製鋼圧延業"
"2231","223","熱間圧延業（鋼管，伸鉄を除く）"
"2232","223","冷間圧延業（鋼管，伸鉄を除く）"
"2233","223","冷間ロール成型形鋼製造業"
"2234","223","鋼管製造業"
"2235","223","伸鉄業"
"2236","223","磨棒鋼製造業"
"2237","223","引抜鋼管製造業"
"2238","223","伸線業"
"2239","223","その他の製鋼を行わない鋼材製造業（表面処理鋼材を除く)"
"2241","224","亜鉛鉄板製造業"
"2249","224","その他の表面処理鋼材製造業"
"2251","225","銑鉄鋳物製造業（鋳鉄管，可鍛鋳鉄を除く）"
"2252","225","可鍛鋳鉄製造業"
"2253","225","鋳鋼製造業"
"2254","225","鍛工品製造業"
"2255","225","鍛鋼製造業"
"2291","229","鉄鋼シャースリット業"
"2292","229","鉄スクラップ加工処理業"
"2293","229","鋳鉄管製造業"
"2299","229","他に分類されない鉄鋼業"
"2300","230","主として管理事務を行う本社等"
"2309","230","その他の管理，補助的経済活動を行う事業所"
"2311","231","銅第1次製錬・精製業"
"2312","231","亜鉛第1次製錬・精製業"
"2319","231","その他の非鉄金属第1次製錬・精製業"
"2321","232","鉛第2次製錬・精製業（鉛合金製造業を含む)"
"2322","232","アルミニウム第2次製錬・精製業（アルミニウム合金製造業を含む）"
"2329","232","その他の非鉄金属第2次製錬・精製業（非鉄金属合金製造業を含む）"
"2331","233","伸銅品製造業"
"2332","233","アルミニウム・同合金圧延業（抽伸，押出しを含む）"
"2339","233","その他の非鉄金属・同合金圧延業（抽伸，押出しを含む）"
"2341","234","電線・ケーブル製造業（光ファイバケーブルを除く）"
