id,code,jsic_division_code,name
"406","730","73","管理、補助的経済活動を行う事業所（73広告業）"
"407","731","73","広告業"
"408","740","74","管理、補助的経済活動を行う事業所（74技術サービス業）"
"409","741","74","獣医業"
"410","742","74","土木建築サービス業"
"411","743","74","機械設計業"
"412","744","74","商品・非破壊検査業"
"413","745","74","計量証明業"
"414","746","74","写真業"
"415","749","74","その他の技術サービス業"
"416","750","75","管理、補助的経済活動を行う事業所（75宿泊業）"
"417","751","75","旅館、ホテル"
"418","752","75","簡易宿所"
"419","753","75","下宿業"
"420","759","75","その他の宿泊業"
"421","760","76","管理、補助的経済活動を行う事業所（76飲食店）"
"422","761","76","食堂、レストラン（専門料理店を除く）"
"423","762","76","専門料理店"
"424","763","76","そば・うどん店"
"425","764","76","すし店"
"426","765","76","酒場、ビヤホール"
"427","766","76","バー、キャバレー、ナイトクラブ"
"428","767","76","喫茶店"
"429","769","76","その他の飲食店"
"430","770","77","管理、補助的経済活動を行う事業所（77持ち帰り・配達飲食サービス業）"
"431","771","77","持ち帰り飲食サービス業"
"432","772","77","配達飲食サービス業"
"433","773","77","施設給食業"
"434","780","78","管理、補助的経済活動を行う事業所（78洗濯・理容・美容・浴場業）"
"435","781","78","洗濯業"
"436","782","78","理容業"
"437","783","78","美容業"
"438","784","78","一般公衆浴場業"
"439","785","78","その他の公衆浴場業"
"440","789","78","その他の洗濯・理容・美容・浴場業"
"441","790","79","管理、補助的経済活動を行う事業所（79その他の生活関連サービス業）"
"442","791","79","旅行業"
"443","792","79","家事サービス業"
"444","793","79","衣服裁縫修理業"
"445","794","79","物品預り業"
"446","795","79","火葬・墓地管理業"
"447","796","79","冠婚葬祭業"
"448","799","79","他に分類されない生活関連サービス業"
"449","800","80","管理、補助的経済活動を行う事業所（80娯楽業）"
"450","801","80","映画館"
"451","802","80","興行場（別掲を除く）、興行団"
"452","803","80","競輪・競馬等の競走場、競技団"
"453","804","80","スポーツ施設提供業"
"454","805","80","公園、遊園地"
"455","806","80","遊戯場"
"456","809","80","その他の娯楽業"
"457","810","81","管理、補助的経済活動を行う事業所（81学校教育）"
"458","811","81","幼稚園"
"459","812","81","小学校"
"460","813","81","中学校、義務教育学校"
"461","814","81","高等学校、中等教育学校"
"462","815","81","特別支援学校"
"463","816","81","高等教育機関"
